id,name,released,rating,metacritic,playtime,platforms,genres,stores,tags,esrb_rating
892,"Everybody's Gone to the Rapture",2015-08-10,3.34,76,2,"{PC,""PlayStation 4""}","{Adventure,Casual,Indie}","{""PlayStation Store"",Steam}","{Singleplayer,""Steam Achievements"",""Full controller support"",""Steam Cloud"",Atmospheric,""Great Soundtrack"",""Story Rich"",""Open World"",First-Person,Sci-fi,Horror,Exploration,Post-apocalyptic,""Captions available"",Mystery,""Walking Simulator""}",Mature
895,LittleBigPlanet,2008-10-26,4.09,95,5,"{""PlayStation 3""}","{Action,Arcade}","{""PlayStation Store""}","{Sandbox,exclusive}",Everyone 10+
903,DEFCON,2006-09-27,3.05,84,1,"{PC,macOS,Linux}","{Strategy,Indie}","{GOG,Steam}","{Singleplayer,Multiplayer,Atmospheric,""Great Soundtrack"",Co-op,2D,Horror,Tactical,War,RTS,""Real-Time with Pause"",""Cold War"",Diplomacy,Wargame}",Mature
912,Call of Cthulhu,2018-10-29,3.54,66,5,"{""Nintendo Switch"",PC,""Xbox One"",""PlayStation 4""}","{Action,Adventure,RPG}","{""PlayStation Store"",""Nintendo Store"",GOG,Steam,""Xbox Store""}","{Singleplayer,""Steam Achievements"",""Full controller support"",""Steam Cloud"",Atmospheric,RPG,""Story Rich"",First-Person,Horror,Action-Adventure,role-playing,Narration,Lovecraftian}",Mature
913,KAO the Kangaroo: Round 2,2005-04-14,2.64,,1,"{PC,Xbox,GameCube,""PlayStation 2""}","{Action,Adventure,Racing,Arcade,Casual,Platformer}","{""Epic Games"",itch.io,Steam}","{Singleplayer,""Steam Achievements"",""Steam Cloud"",""Partial Controller Support"",Classic,Action-Adventure,""3D Platformer""}",
914,Maneater,2020-05-21,3.43,68,4,"{""PlayStation 5"",""PlayStation 4"",PC,""Xbox One"",""Nintendo Switch"",""Xbox Series S/X""}","{Action,Adventure,RPG,Indie}","{""Nintendo Store"",""Xbox Store"",""PlayStation Store"",Steam,""Epic Games""}","{Singleplayer,RPG,Fantasy,Controller,""Early Access"",combat,Story,battle,Loot,console,offline,nature,fight,explore,night,evolution,rock,tv,shark}",Mature
916,House Flipper,2018-05-15,3.83,62,7,"{macOS,""Nintendo Switch"",""PlayStation 4"",""Xbox One"",iOS,PC}","{Adventure,Simulation,Indie}","{""PlayStation Store"",""Xbox Store"",""Nintendo Store"",Steam,""App Store"",GOG}","{Singleplayer,""Steam Achievements"",VR,Building,Education,lifestyle}",Everyone
867,Superliminal,2019-11-11,4.17,77,3,"{""PlayStation 4"",macOS,PC,Linux,""Nintendo Switch"",""Xbox One""}","{Indie,Puzzle}","{""Epic Games"",""Nintendo Store"",""PlayStation Store"",""Xbox Store"",GOG,Steam}","{Singleplayer,""Steam Achievements"",""Full controller support"",First-Person,puzzles,box}",
868,"Assassin's Creed: Director's Cut Edition",2008-04-08,3.92,79,6,{PC},"{Action,Adventure}","{Steam,GOG}","{Singleplayer,Atmospheric,""Great Soundtrack"",RPG,""Story Rich"",""Open World"",""Third Person"",Sci-fi,""Partial Controller Support"",Classic,Sandbox,Stealth,Controller,Action-Adventure,""controller support"",Historical,Medieval,Parkour,Assassin,Conspiracy}",
871,Defiance,2013-04-01,2.21,64,3,"{""PlayStation 3"",PC,""Xbox 360""}","{Action,Shooter,RPG,""Massively Multiplayer""}","{""PlayStation Store"",Steam,""Xbox 360 Store""}","{Singleplayer,Multiplayer,steam-trading-cards,RPG,Co-op,""Open World"",cooperative,First-Person,""Third Person"",Sci-fi,""Partial Controller Support"",FPS,""Online Co-Op"",Survival,""Free to Play"",""Third-Person Shooter"",Post-apocalyptic,mmo,MMORPG}",Adults Only
878,Prototype 2,2012-04-23,3.8,76,7,"{""Xbox One"",PC,""Xbox 360"",""PlayStation 3"",""PlayStation 4""}","{Action,Adventure}","{""PlayStation Store"",""Xbox Store"",Steam,""Xbox 360 Store""}","{Singleplayer,""Steam Achievements"",Multiplayer,""Steam Cloud"",Atmospheric,RPG,Co-op,""Story Rich"",""Open World"",""Third Person"",Sci-fi,Horror,Gore,""Steam Leaderboards"",Sandbox,Violent,Stealth,stats,Zombies,""Hack and Slash"",Parkour,Superhero}",Mature
880,Pathologic 2,2019-05-21,4.05,69,4,"{PC,""Xbox One"",""PlayStation 4""}","{Adventure,RPG,Indie}","{""PlayStation Store"",""Xbox Store"",Steam,GOG}","{Singleplayer,""Full controller support"",Atmospheric,""Great Soundtrack"",RPG,""Story Rich"",""Open World"",First-Person,Horror,Survival,Violent,Dark,Nudity,""Survival Horror"",""Choices Matter""}",Mature
882,"Sonic Adventure DX: Director's Cut",2003-06-05,3.91,57,2,"{""Xbox 360"",PC,""PlayStation 3"",GameCube}","{Adventure,Arcade,Platformer}",{Steam},"{Singleplayer,""Great Soundtrack"",""Story Rich"",""Open World"",""Third Person"",""Partial Controller Support"",Classic,""Female Protagonist"",Controller,Retro,Anime,""Family Friendly"",""Replay Value"",Memes,Fast-Paced,3D,""3D Platformer""}",Everyone
883,Downwell,2015-10-13,3.85,81,2,"{""PS Vita"",""PlayStation 4"",""Nintendo Switch"",iOS,Android,PC}","{Action,Adventure,Arcade,Casual,Indie,Platformer}","{""PlayStation Store"",Steam,GOG,""Google Play"",""Nintendo Store"",""App Store""}","{Singleplayer,""Steam Achievements"",""Great Soundtrack"",2D,""Partial Controller Support"",""Steam Leaderboards"",Difficult,""Pixel Graphics"",Retro,""controller support"",Roguelike,Fast-Paced,overlay,Roguelite,""Shoot 'Em Up"",""Procedural Generation"",GameMaker}",
886,No Time To Explain Remastered,2015-07-16,2.76,,3,"{macOS,PC,Linux}","{Action,Adventure,Casual,Indie}",{Steam},"{Singleplayer,""Steam Achievements"",Multiplayer,""Full controller support"",""Steam Cloud"",steam-trading-cards,""Great Soundtrack"",2D,Funny,Gore,Difficult,Comedy,""Split Screen"",""Local Co-Op"",""Local Multiplayer"",""Steam Workshop"",""Includes level editor"",Memes,Remake,""Time Travel""}",
896,Crusader Kings III,2020-08-31,4.33,86,11,"{macOS,""PlayStation 5"",""Xbox Series S/X"",PC,Linux}","{RPG,Strategy,Simulation}",{Steam},"{Singleplayer,Multiplayer,RPG,""Online multiplayer"",Historical,Medieval,""Sexual Content"",""Grand Strategy"",""Dating Sim""}",
899,Medieval II: Total War,2007-11-26,4.08,88,4,"{PC,Linux,macOS}","{Strategy,Simulation}","{Steam,""App Store""}","{Singleplayer,Multiplayer,steam-trading-cards,""Great Soundtrack"",Classic,Sandbox,Tactical,Moddable,War,Turn-Based,Historical,RTS,Medieval,Military,""Turn-Based Strategy"",""Grand Strategy"",4X,""Real Time Tactics""}",Mature
901,Capcom Arcade Stadium,2021-02-16,2.71,78,1,"{""PlayStation 4"",""Nintendo Switch"",PC,""Xbox One""}","{Action,Arcade}","{""Nintendo Store"",Steam,""Xbox Store""}","{Singleplayer,Multiplayer,""Full controller support"",Co-op,2D,""Free to Play"",""Split Screen"",""Local Co-Op"",""Local Multiplayer"",""In-App Purchases"",3D,""Beat 'em up"",""Steam Trading Cards"",1990's,""4 Player Local"",1980s,""2D Fighter"",""Remote Play Together"",""Shared/Split Screen Co-op"",""2D Platformer"",2D-платформер,2D-файтинг}",Teen
870,Killzone Shadow Fall,2013-11-14,3.16,73,0,"{""PlayStation 4""}",{Shooter},"{""PlayStation Store""}","{exclusive,""true exclusive""}",Mature
872,GreedFall,2019-09-09,3.36,74,4,"{""PlayStation 4"",PC,""Xbox One""}","{Action,Adventure,RPG}","{GOG,Steam,""PlayStation Store"",""Xbox Store""}","{Singleplayer,""Full controller support"",""Story Rich"",""Open World"",role-playing}",Mature
885,POSTAL,1997-11-13,2.97,56,2,"{PC,Linux,macOS}","{Action,Indie}",{Steam},"{Singleplayer,""Steam Achievements"",""Full controller support"",Atmospheric,steam-trading-cards,""Open World"",Horror,Gore,Difficult,Classic,Comedy,Violent,Dark,Mature,Isometric,1990's,""Dark Humor"",""Top-Down Shooter"",""Villain Protagonist"",controversial}",Adults Only
890,Pyre,2017-07-24,4.17,84,4,"{""PlayStation 4"",macOS,Linux,PC}","{Adventure,RPG,Sports,Arcade,Indie}","{itch.io,""PlayStation Store"",Steam,GOG}","{Singleplayer,""Steam Achievements"",Multiplayer,""Full controller support"",""Steam Cloud"",Atmospheric,steam-trading-cards,""Great Soundtrack"",RPG,""Story Rich"",2D,Fantasy,""Local Multiplayer"",""Captions available"",""Choices Matter"",""Multiple Endings"",""Visual Novel"",Hand-drawn,""Party-Based RPG""}",Everyone 10+
893,Fractured Space,2016-09-21,2.4,79,1,{PC},"{Action,Strategy,Indie}",{Steam},"{Singleplayer,""Steam Achievements"",Multiplayer,Co-op,""Open World"",Sci-fi,""Online Co-Op"",""Steam Leaderboards"",Sandbox,Survival,""Free to Play"",""Online multiplayer"",Tactical,PvP,Space,""In-App Purchases"",Team-Based,Competitive,MOBA,""Space Sim""}",
898,Persona 5 Royal,2020-03-30,4.74,94,10,"{""Xbox Series S/X"",PC,""PlayStation 5"",""Nintendo Switch"",""Xbox One"",""PlayStation 4""}","{Adventure,RPG}","{""Nintendo Store"",Steam,""PlayStation Store""}","{Singleplayer,""Steam Achievements"",""Full controller support"",""Steam Cloud"",""Great Soundtrack"",RPG,""Story Rich"",Violent,Anime,Colorful,""Turn-Based Strategy"",""Sexual Content"",""Multiple Endings"",""Steam Trading Cards"",""Visual Novel"",JRPG,Detective,""Turn-Based Combat"",Heist,""Dating Sim"",Emotional,""Party-Based RPG"",Soundtrack}",Mature
