id,name,released,rating,metacritic,playtime,platforms,genres,stores,tags,esrb_rating
4917,"Spy Fox in ""Dry Cereal""",1997-09-01,4.19,,4,"{iOS,PC,Wii,Android,macOS,Linux}","{Adventure,Casual,Educational}","{""App Store"",""Nintendo Store"",""Google Play"",Steam}","{Singleplayer,steam-trading-cards,Horror,Comedy,""Point & Click"",Nudity,""Survival Horror"",""Family Friendly"",1990's}",
4918,Belko VR: An Escape Room Experiment,2017-03-01,3.43,,1,{PC},"{Action,Strategy,Casual,Indie}",{Steam},"{Singleplayer,Gore,Violent,""Free to Play"",VR,""Sexual Content""}",
4919,Sébastien Loeb Rally EVO,2016-01-28,2.82,67,4,"{""Xbox One"",""PlayStation 4"",PC}","{Simulation,Sports,Racing}","{""Xbox Store"",""PlayStation Store"",Steam}","{Singleplayer,""Steam Achievements"",Multiplayer,""Steam Cloud"",steam-trading-cards,""Partial Controller Support"",Offroad}",Everyone
4920,Superdimension Neptune VS Sega Hard Girls,2015-11-25,3.23,72,5,"{""PS Vita"",PC}","{Action,RPG}","{""PlayStation Store"",Steam}","{Singleplayer,""Steam Achievements"",""Full controller support"",""Steam Cloud"",steam-trading-cards,""Great Soundtrack"",RPG,""Female Protagonist"",Anime,Turn-Based,Cute,""Visual Novel"",JRPG}",Teen
4921,Last Call BBS,2022-07-03,3.56,,3,"{Linux,macOS,PC}","{Simulation,Indie,Puzzle}","{GOG,Steam}","{Singleplayer,""Steam Achievements"",Multiplayer,2D,Sandbox,""Split Screen"",""Pixel Graphics"",Retro,""Early Access"",PvP,Building,1990's,""Card Game"",""Remote Play Together"",Mechs,""Shared/Split Screen PvP"",""Old School"",Logic,Automation,solitaire,Автоматика}",
4922,Electrician Simulator - First Shock,2022-01-05,3,,1,{PC},"{Adventure,Simulation,Casual,Indie}",{Steam},"{Singleplayer,""Open World"",First-Person,Funny,Sandbox,""Family Friendly"",Crafting,Realistic,3D,Memes,Relaxing,Education,""Immersive Sim"",""Life Sim"",electronic}",
4923,Hello Neighbor 2 Alpha 1,2020-07-22,2.79,,1,{PC},"{Adventure,Strategy,Indie}",{Steam},"{Singleplayer,Atmospheric,First-Person,Horror,Survival,Stealth,""Survival Horror"",Mystery,Colorful,3D,Detective,Surreal,Cartoony,Psychological,Conspiracy,Investigation,""Inventory Management"",Psychedelic,""Puzzle Platformer""}",
4924,Gladiator Guild Manager: Prologue,2020-08-26,2.58,,1,{PC},"{Strategy,Simulation,Indie}",{Steam},"{Singleplayer,RPG,2D,Fantasy,Comedy,Tactical,""Character Customization"",""Dark Fantasy"",Medieval,Building,Management,""Dark Humor"",""Resource Management"",Mythology,Trading,""Strategy RPG"",deckbuilding,""Auto Battler""}",
4925,Explore Fushimi Inari,1969-12-31,3.42,,1,{PC},"{Simulation,Casual}",{Steam},"{Singleplayer,""Partial Controller Support""}",
4926,Teenage Mutant Ninja Turtles III: The Manhattan Project,1991-12-12,4.39,,0,{NES},{Action},{},"{Singleplayer,""Local Co-Op""}",
4954,Leviathan: The Last Day of the Decade,2014-11-17,3.15,,4,"{Linux,macOS,PC}","{Adventure,Indie}",{Steam},"{Singleplayer,""Steam Achievements"",Atmospheric,steam-trading-cards,""Great Soundtrack"",""Story Rich"",""Point & Click"",""Choices Matter"",""Dark Fantasy"",""Visual Novel""}",Adults Only
4927,The Last Blade (1997),1997-12-03,3.64,,1,"{""Classic Macintosh"",PlayStation,""PlayStation 4"",""Neo Geo"",Wii,""Nintendo Switch"",PC,""Xbox One"",Linux}","{Action,Arcade,Fighting}","{Steam,GOG,""Nintendo Store""}","{Singleplayer,""Steam Achievements"",Multiplayer,""Full controller support"",Co-op,2D,""Steam Leaderboards"",""Split Screen"",""Online multiplayer"",""Local Multiplayer"",Anime,""controller support"",overlay,achievements,""2D Fighter"",""cloud saves"",leaderboards,""2 players""}",
4928,The Lion’s Song,2017-07-11,3.84,,1,"{""Nintendo Switch"",Linux,PC,macOS,Android,iOS}",{Adventure},"{""App Store"",GOG,""Nintendo Store"",""Google Play"",""Epic Games""}","{Story,Episodic,Demons,history,unique,train}",Teen
4929,Feudal Alloy,2019-01-15,2.94,76,2,"{""Nintendo Switch"",PC,Linux,""PlayStation 4"",""Xbox One"",macOS}","{Action,RPG,Indie}","{""PlayStation Store"",Steam,""Nintendo Store"",GOG,""Xbox Store""}","{Singleplayer,""Steam Achievements"",RPG,2D,""Partial Controller Support"",Exploration,""Action RPG"",Controller,role-playing,Medieval,Metroidvania,Robots}",
4930,Offensive Combat: Redux!,2017-08-17,2.83,,4,{PC},{Action},{Steam},"{Singleplayer,""Steam Achievements"",Multiplayer,steam-trading-cards,FPS,""Steam Leaderboards"",""Online multiplayer"",""In-App Purchases""}",
4931,Stronghold,2001-09-30,4.34,81,0,{PC},{Strategy},{Steam},"{exclusive,""true exclusive""}",Teen
4932,Transference,2018-09-17,3.27,72,2,"{""Xbox One"",""PlayStation 4"",PC}","{Adventure,Indie}","{Steam,""Xbox Store"",""PlayStation Store""}","{Singleplayer,""Full controller support"",Horror,VR}",Everyone
4933,Iron Man,2008-05-01,2.54,40,15,"{PC,""Nintendo DS"",""Xbox 360"",""PlayStation 2"",Wii}","{Action,Shooter}","{""Nintendo Store"",""Xbox 360 Store""}","{combat,battle,Tanks,death,escape,fighter,construct}",Teen
4934,Cherry Tree High I! My! Girls!,2014-11-19,2.86,,4,{PC},{Indie},{Steam},"{Singleplayer,steam-trading-cards,""Partial Controller Support"",""Female Protagonist"",Comedy,Anime,Cute,""Visual Novel""}",
4935,JDM Tuner Racing,2016-06-06,1.53,,2,"{iOS,PC}","{Action,Sports,Racing}","{Steam,""App Store""}","{Singleplayer,2D}",Everyone 10+
4936,hocus,2015-11-17,3.35,,4,"{Android,PC,macOS}","{Casual,Indie}",{Steam},"{Singleplayer,""Steam Achievements"",""Full controller support"",steam-trading-cards,""Includes level editor""}",
4937,Астролорды: Облако Оорта,2015-09-28,0,,1,"{macOS,Linux,PC}","{Strategy,""Massively Multiplayer"",Indie}",{Steam},"{Singleplayer,""Steam Achievements"",Multiplayer,steam-trading-cards,Co-op,""Steam Leaderboards"",""Free to Play"",stats,Space,""Cross-Platform Multiplayer"",mmo,""Commentary available""}",
4938,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),2010-12-08,2.2,,2,{PC},"{Action,Indie}",{Steam},"{Singleplayer,""Steam Achievements"",steam-trading-cards,""Early Access"",Music,""Procedural Generation"",Rhythm,""Music-Based Procedural Generation""}",Rating Pending
4939,Double Kick Heroes,2018-04-10,3.5,,3,"{""Xbox One"",""Nintendo Switch"",macOS,PC}","{Action,Indie}","{""Xbox Store"",GOG,Steam,""Nintendo Store""}","{Singleplayer,""Great Soundtrack"",2D,""Partial Controller Support"",Gore,Violent,""Pixel Graphics"",Zombies,""Includes level editor"",""Sexual Content"",Music,""Shoot 'Em Up"",""Level Editor"",Rhythm}",
4940,Atelier Sophie: The Alchemist of the Mysterious Book,2015-11-18,3.87,73,9,"{PC,""PlayStation 3"",""PS Vita""}","{Adventure,RPG}","{""PlayStation Store"",Steam}","{Singleplayer,""Steam Achievements"",""Great Soundtrack"",RPG,""Partial Controller Support"",Horror,Fantasy,""Female Protagonist"",Anime,Turn-Based,Cute,Crafting,JRPG}",
4941,24 HOURS,2016-09-12,1.44,,4,{PC},"{Action,Adventure,Indie}",{Steam},"{Singleplayer,steam-trading-cards,Horror,FPS}",
4942,Bot Vice,2016-07-10,3.18,,3,"{""Nintendo Switch"",PC,macOS,Linux}","{Action,Adventure,Indie}","{Steam,""Nintendo Store""}","{Singleplayer,""Steam Achievements"",""Full controller support"",""Steam Cloud"",steam-trading-cards,""Great Soundtrack"",2D,Funny,""Steam Leaderboards"",Difficult,""Female Protagonist"",""Pixel Graphics"",Controller,Retro,Anime,Cute,Fast-Paced,Cyberpunk,Top-Down,""Shoot 'Em Up"",""Bullet Hell""}",
4943,Software Inc.,2015-04-30,3.83,,7,"{macOS,PC,Linux}","{Strategy,Simulation,Indie}",{Steam},"{Singleplayer,Sandbox,""Early Access"",""Steam Workshop"",Building,Management,Economy,Software,""Game Development""}",
4944,Zula - Europe,2016-11-23,2.39,,1,{PC},"{Action,""Massively Multiplayer""}",{Steam},"{Singleplayer,Multiplayer,Co-op,cooperative,First-Person,Horror,FPS,""Online Co-Op"",""Free to Play"",""Online multiplayer"",Controller,""In-App Purchases""}",
4945,Fable Fortune,2017-07-23,2.93,,1,"{""Xbox One"",PC}",{Strategy},"{Steam,""Xbox Store""}","{Singleplayer,""Full controller support"",steam-trading-cards,cooperative,""Online Co-Op"",""Free to Play"",""Online multiplayer"",""Early Access"",""In-App Purchases"",""Card Game""}",Teen
4946,Kinectimals,2010-11-03,2.85,76,0,"{PC,iOS,""Xbox 360""}","{Simulation,Family}","{""App Store"",""Xbox 360 Store""}","{console,island,fall,animation,phone,pet}",Everyone
4947,EA SPORTS Rory McIlroy PGA TOUR,2015-07-13,3.39,,0,"{""PlayStation 4"",""Xbox One""}",{Sports},"{""Xbox Store""}","{Multiplayer,online,Golf}",Everyone
4948,Leap of Fate,2016-03-29,3.19,80,4,"{""PlayStation 4"",PC,iOS}","{Action,RPG}","{""PlayStation Store"",""App Store"",Steam}","{Singleplayer,""Steam Achievements"",""Full controller support"",""Steam Cloud"",steam-trading-cards,Difficult,""Hack and Slash"",Roguelike,Cyberpunk,Roguelite,""Twin Stick Shooter""}",
4949,MINERVA: Metastasis,2005-09-01,3.74,,1,{},{Shooter},{Steam},{Mod},
4950,Freddi Fish 1: The Case of the Missing Kelp Seeds,1993-12-31,4.14,,2,"{PC,Wii,Android,macOS,Linux}","{Adventure,Casual}","{""Google Play"",Steam}","{Singleplayer,steam-trading-cards,""Great Soundtrack"",""Point & Click"",""Family Friendly"",Competitive,Education}",Everyone
4951,Beyond Good and Evil 2,1969-12-31,0,,0,"{""PlayStation 4"",PC,""Xbox Series S/X"",""PlayStation 5"",""Xbox One""}","{Action,Adventure,RPG}",{},"{RPG,""3rd-Person Perspective""}",
4952,"Disney's The Jungle Book",1993-08-14,3.9,,1,"{Genesis,""Game Boy Advance"",""Game Boy"",""SEGA Master System"",""Game Gear"",NES,Linux,macOS,PC,SNES}","{Action,Adventure,Arcade,Platformer}","{Steam,GOG}","{Singleplayer,""Partial Controller Support"",""controller support""}",
4953,Animal Super Squad,2017-11-01,2.65,,3,"{""PlayStation 4"",""Nintendo Switch"",""Xbox One"",Android,PC,iOS}","{Action,Adventure,Simulation,Family,Indie}","{Steam,""Nintendo Store"",""PlayStation Store"",""Google Play"",""App Store"",""Xbox Store""}","{Singleplayer,""Steam Achievements"",""Partial Controller Support"",""Early Access"",""Includes level editor"",3D}",
5275,My Friend Peppa Pig,2021-10-21,3.23,,3,"{""Xbox One"",""Nintendo Switch"",""PlayStation 4"",""Xbox Series S/X"",""PlayStation 5"",PC}",{Adventure},"{""Xbox Store"",Steam}","{Singleplayer,""Steam Achievements"",""Full controller support"",""Story Rich"",2D,Funny,Sandbox,""Female Protagonist"",Controller,""Character Customization"",""Family Friendly"",Cute,Colorful,""Beat 'em up"",Story,character,city,Cartoon,Epic,""Top-Down Shooter"",""Interactive Fiction"",Протагонистка,fun,""Hero Shooter"",tv,Addictive,beach,pig,museum,potato}",
5281,Madden NFL 21,2020-08-24,2.31,65,5,"{""PlayStation 4"",PC,""Xbox One""}","{Strategy,Simulation,Sports}","{Steam,""PlayStation Store"",""Xbox Store""}","{Singleplayer,Multiplayer,""Full controller support"",""Online Co-Op"",""Split Screen"",""Local Co-Op"",PvP,""In-App Purchases"",Realistic,Competitive,""Online PvP"",online,America,console,offline,Modern,history,Football,skill,""Shared/Split Screen PvP"",journey,esports,random,gold}",Everyone
4955,"Warhammer 40,000: Kill Team",2011-07-12,2.88,66,2,"{""Xbox 360"",""PlayStation 3"",PC}","{Action,Shooter}","{""PlayStation Store"",Steam,""Xbox 360 Store""}","{Singleplayer,""Steam Achievements"",""Full controller support"",""Steam Cloud"",Co-op,cooperative,""Third Person"",Sci-fi,""Partial Controller Support"",""Steam Leaderboards"",""Split Screen"",""Local Co-Op"",""Twin Stick Shooter"",""Games Workshop"",""Warhammer 40K""}",Teen
4956,Bang Bang Racing,2012-06-04,3.12,,1,"{PC,""PlayStation 3"",""Xbox 360""}","{Sports,Racing,Arcade}","{Steam,""Xbox 360 Store"",""PlayStation Store""}","{Singleplayer,""Steam Achievements"",Multiplayer,""Steam Cloud"",""Partial Controller Support"",""Steam Leaderboards"",""Split Screen"",""Local Multiplayer"",Top-Down}",
4957,Escape Goat 2,2014-03-22,3.11,76,4,"{""PlayStation 4"",macOS,PC,Linux}","{Action,Casual,Indie,Puzzle,Platformer}","{""PlayStation Store"",Steam,GOG}","{Singleplayer,""Steam Achievements"",""Full controller support"",""Steam Cloud"",steam-trading-cards,""Great Soundtrack"",2D,Controller,""Steam Workshop"",""Includes level editor"",""controller support"",Puzzle-Platformer}",Everyone 10+
4958,Magic: Duels of the Planeswalkers 2015,2014-07-08,3.34,60,5,"{""Xbox One"",iOS,PC,""Xbox 360"",Android}","{Strategy,Card}","{""Google Play"",""Xbox 360 Store"",""Xbox Store"",""App Store"",Steam}","{Multiplayer,Magic,battle,friends,Trading,collect,collection,hunt,bird,ccg}",
4959,A World of Keflings,2010-12-21,2.68,,3,"{""Wii U"",PC,""Xbox 360""}","{Strategy,Simulation}","{""Xbox 360 Store"",""Nintendo Store""}","{Building,Robots,Music,city,friends,fun,princess,ice,mine}",Everyone 10+
4960,Copa Petrobras de Marcas,2015-04-07,2.5,,1,{PC},"{Simulation,Sports,Racing}",{Steam},"{Singleplayer,Multiplayer,Co-op,First-Person,""Partial Controller Support"",FPS,""Online Co-Op"",""Free to Play"",Controller}",
4961,Abyss: The Wraiths of Eden,2014-04-02,3.46,,4,"{""Xbox One"",""PlayStation 4"",PC,Linux,Android,macOS}","{Adventure,Casual,Puzzle}","{""PlayStation Store"",Steam,""Xbox Store"",""Google Play""}","{Singleplayer,""Steam Achievements"",""Steam Cloud"",steam-trading-cards,2D,Horror,""Female Protagonist"",""Point & Click"",Mystery,""Hidden Object""}",Teen
4962,Radiator 2,2016-06-15,3.26,,1,"{macOS,PC,Linux}","{Action,Simulation,Casual,Indie}",{Steam},"{Singleplayer,""Steam Achievements"",""Full controller support"",RPG,FPS,Funny,""Free to Play"",Anime,Nudity,""Captions available"",Mature,""Sexual Content"",LGBTQ+}",
4963,Upside Down,2017-02-13,1.62,,3,"{macOS,PC,Linux}","{Action,Adventure,Casual,Indie}",{Steam},"{Singleplayer,""Steam Achievements"",""Full controller support"",steam-trading-cards,2D}",
4964,Unknown Battle,2016-03-13,1.4,,5,{PC},"{Action,Adventure,Indie}",{Steam},"{Singleplayer,steam-trading-cards,Horror,FPS}",
4965,Space Haven,1969-12-31,3.91,,3,"{PC,macOS,Linux}","{RPG,Strategy,Simulation,Casual,Indie}","{Steam,GOG}","{Singleplayer,RPG}",
4966,Chicken Shoot Gold,2003-10-31,2.33,,3,"{macOS,PC}","{Action,Casual,Indie}",{Steam},"{Singleplayer,Multiplayer}",
4967,Cossacks: Art of War,2001-11-19,4.15,74,1,{PC},{Strategy},{Steam},"{Singleplayer,exclusive,Historical,RTS,""true exclusive""}",
4968,Jet Racing Extreme,2015-07-13,1.74,,6,"{macOS,PC,Linux}","{Action,Simulation,Sports,Racing,Indie}",{Steam},"{Singleplayer,""Steam Achievements"",Multiplayer,steam-trading-cards,""Partial Controller Support"",""Steam Leaderboards"",stats,""Early Access"",""Cross-Platform Multiplayer""}",
4969,Off-Peak,2016-10-20,3.9,,1,"{macOS,PC,Linux}","{Adventure,Indie}",{Steam},"{Singleplayer,""Steam Achievements"",Multiplayer,""Great Soundtrack"",""Partial Controller Support"",Horror,""Free to Play"",""Walking Simulator"",Surreal}",
